timestamp,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-03-08T11:10:08+09:00,0.40%,327.9MiB / 4GiB,8.00%,6.66GB / 6.12GB,361MB / 10GB,106
2026-03-08T11:10:11+09:00,0.38%,327.9MiB / 4GiB,8.00%,6.66GB / 6.12GB,361MB / 10GB,106
2026-03-08T11:10:14+09:00,0.42%,327.9MiB / 4GiB,8.00%,6.66GB / 6.12GB,361MB / 10GB,106
2026-03-08T11:10:17+09:00,0.36%,327.9MiB / 4GiB,8.01%,6.66GB / 6.12GB,361MB / 10GB,106
2026-03-08T11:10:20+09:00,136.89%,369.6MiB / 4GiB,9.02%,6.95GB / 6.12GB,361MB / 10GB,106
2026-03-08T11:10:22+09:00,103.99%,382.9MiB / 4GiB,9.35%,7.39GB / 6.12GB,361MB / 10.3GB,106
2026-03-08T11:10:25+09:00,173.58%,403.1MiB / 4GiB,9.84%,7.85GB / 6.64GB,361MB / 10.8GB,108
2026-03-08T11:10:28+09:00,101.61%,417.9MiB / 4GiB,10.20%,8.25GB / 7.75GB,361MB / 11.6GB,108
2026-03-08T11:10:32+09:00,191.88%,427.4MiB / 4GiB,10.43%,8.72GB / 9.07GB,361MB / 12.1GB,108
2026-03-08T11:10:34+09:00,185.21%,435.4MiB / 4GiB,10.63%,9.09GB / 10.4GB,361MB / 13GB,108
2026-03-08T11:10:37+09:00,182.13%,469.9MiB / 4GiB,11.47%,9.66GB / 11.5GB,361MB / 13.5GB,108
2026-03-08T11:10:41+09:00,189.68%,809.3MiB / 4GiB,19.76%,10.1GB / 12.5GB,361MB / 14.5GB,108
2026-03-08T11:10:44+09:00,62.94%,1.49GiB / 4GiB,37.24%,10.7GB / 13GB,379MB / 15.2GB,109
2026-03-08T11:10:47+09:00,77.74%,1.491GiB / 4GiB,37.26%,11GB / 13GB,414MB / 16GB,109
2026-03-08T11:10:50+09:00,51.62%,1.475GiB / 4GiB,36.89%,11.4GB / 13.1GB,449MB / 16.6GB,109
2026-03-08T11:10:53+09:00,59.18%,1.482GiB / 4GiB,37.05%,11.6GB / 13.1GB,481MB / 17.4GB,109
2026-03-08T11:10:56+09:00,0.45%,1.456GiB / 4GiB,36.41%,11.7GB / 13.1GB,489MB / 17.7GB,109
2026-03-08T11:10:59+09:00,0.43%,1.456GiB / 4GiB,36.41%,11.7GB / 13.1GB,489MB / 17.7GB,109
2026-03-08T11:11:01+09:00,0.47%,1.457GiB / 4GiB,36.41%,11.7GB / 13.1GB,489MB / 18GB,108
2026-03-08T11:11:04+09:00,0.36%,1.456GiB / 4GiB,36.41%,11.7GB / 13.1GB,489MB / 18GB,108
2026-03-08T11:11:07+09:00,0.36%,1.456GiB / 4GiB,36.41%,11.7GB / 13.1GB,489MB / 18GB,108
2026-03-08T11:11:10+09:00,0.45%,1.456GiB / 4GiB,36.41%,11.7GB / 13.1GB,489MB / 18GB,108
2026-03-08T11:11:13+09:00,0.50%,1.456GiB / 4GiB,36.41%,11.7GB / 13.1GB,489MB / 18GB,108
2026-03-08T11:11:16+09:00,0.37%,1.456GiB / 4GiB,36.41%,11.7GB / 13.1GB,489MB / 18GB,108
2026-03-08T11:11:19+09:00,0.32%,1.456GiB / 4GiB,36.41%,11.7GB / 13.1GB,489MB / 18GB,108
2026-03-08T11:11:22+09:00,0.36%,1.456GiB / 4GiB,36.41%,11.7GB / 13.1GB,489MB / 18GB,108
2026-03-08T11:11:25+09:00,0.48%,1.457GiB / 4GiB,36.41%,11.7GB / 13.1GB,489MB / 18GB,108
2026-03-08T11:11:28+09:00,0.38%,1.456GiB / 4GiB,36.41%,11.7GB / 13.1GB,489MB / 18GB,108
2026-03-08T11:11:30+09:00,0.50%,1.456GiB / 4GiB,36.41%,11.7GB / 13.1GB,489MB / 18GB,108
2026-03-08T11:11:33+09:00,0.35%,1.456GiB / 4GiB,36.41%,11.7GB / 13.1GB,489MB / 18GB,108
2026-03-08T11:11:36+09:00,0.37%,1.456GiB / 4GiB,36.41%,11.7GB / 13.1GB,489MB / 18GB,108
2026-03-08T11:11:39+09:00,0.42%,1.456GiB / 4GiB,36.41%,11.7GB / 13.1GB,489MB / 18GB,108
2026-03-08T11:11:42+09:00,0.38%,1.456GiB / 4GiB,36.41%,11.7GB / 13.1GB,489MB / 18GB,108
2026-03-08T11:11:45+09:00,0.36%,1.456GiB / 4GiB,36.41%,11.7GB / 13.1GB,489MB / 18GB,108
2026-03-08T11:11:48+09:00,0.35%,1.456GiB / 4GiB,36.41%,11.7GB / 13.1GB,489MB / 18GB,108
2026-03-08T11:11:51+09:00,0.35%,1.456GiB / 4GiB,36.40%,11.7GB / 13.1GB,489MB / 18GB,107
2026-03-08T11:11:54+09:00,0.41%,1.456GiB / 4GiB,36.40%,11.7GB / 13.1GB,489MB / 18GB,106
2026-03-08T11:11:57+09:00,0.42%,1.456GiB / 4GiB,36.40%,11.7GB / 13.1GB,489MB / 18GB,106
2026-03-08T11:12:00+09:00,0.44%,1.456GiB / 4GiB,36.40%,11.7GB / 13.1GB,489MB / 18GB,106
2026-03-08T11:12:02+09:00,0.42%,1.456GiB / 4GiB,36.40%,11.7GB / 13.1GB,489MB / 18GB,106
2026-03-08T11:12:05+09:00,0.38%,1.456GiB / 4GiB,36.40%,11.7GB / 13.1GB,489MB / 18GB,106
