timestamp,cpu_total_delta,cpu_idle_delta,cpu_iowait_delta,cpu_iowait_pct
2026-03-08T11:10:08+09:00,-1,-1,-1,-1
2026-03-08T11:10:11+09:00,9301,1,9150,98.38
2026-03-08T11:10:14+09:00,9313,2,9182,98.59
2026-03-08T11:10:17+09:00,9372,1,9152,97.65
2026-03-08T11:10:20+09:00,9411,3,8769,93.18
2026-03-08T11:10:22+09:00,9405,164,8796,93.52
2026-03-08T11:10:25+09:00,9520,188,8445,88.71
2026-03-08T11:10:28+09:00,9908,528,8592,86.72
2026-03-08T11:10:32+09:00,9284,313,8117,87.43
2026-03-08T11:10:34+09:00,9509,654,8043,84.58
2026-03-08T11:10:37+09:00,10313,719,8712,84.48
2026-03-08T11:10:41+09:00,9949,1324,7723,77.63
2026-03-08T11:10:44+09:00,9253,1766,6965,75.27
2026-03-08T11:10:47+09:00,9293,2672,6185,66.56
2026-03-08T11:10:50+09:00,9363,2145,6832,72.97
2026-03-08T11:10:53+09:00,9437,1495,7582,80.34
2026-03-08T11:10:56+09:00,9196,196,8815,95.86
2026-03-08T11:10:59+09:00,9272,5,9172,98.92
2026-03-08T11:11:01+09:00,9214,133,8926,96.87
2026-03-08T11:11:04+09:00,9323,2,9172,98.38
2026-03-08T11:11:07+09:00,9257,1,9149,98.83
2026-03-08T11:11:10+09:00,9239,1,9107,98.57
2026-03-08T11:11:13+09:00,9239,1,9118,98.69
2026-03-08T11:11:16+09:00,9256,1,9133,98.67
2026-03-08T11:11:19+09:00,9248,2,9137,98.80
2026-03-08T11:11:22+09:00,9255,1,9109,98.42
2026-03-08T11:11:25+09:00,9293,1,9150,98.46
2026-03-08T11:11:28+09:00,9275,1,9159,98.75
2026-03-08T11:11:30+09:00,9290,2,9151,98.50
2026-03-08T11:11:33+09:00,9297,1,9181,98.75
2026-03-08T11:11:36+09:00,9283,1,9165,98.73
2026-03-08T11:11:39+09:00,9298,2,9180,98.73
2026-03-08T11:11:42+09:00,9242,1,9102,98.49
2026-03-08T11:11:45+09:00,9196,2,9053,98.44
2026-03-08T11:11:48+09:00,9251,0,9137,98.77
2026-03-08T11:11:51+09:00,9247,3,9105,98.46
2026-03-08T11:11:54+09:00,9314,1,9192,98.69
2026-03-08T11:11:57+09:00,9249,1,9124,98.65
2026-03-08T11:12:00+09:00,9195,1,9057,98.50
2026-03-08T11:12:02+09:00,9295,2,8863,95.35
2026-03-08T11:12:05+09:00,9226,1,9086,98.48
