timestamp,some_avg10,some_avg60,some_avg300,some_total,full_avg10,full_avg60,full_avg300,full_total,source
2026-03-08T11:10:08+09:00,0.00,0.00,0.05,2479014171,0.00,0.00,0.05,2407667593,psi
2026-03-08T11:10:11+09:00,0.00,0.00,0.05,2479014575,0.00,0.00,0.05,2407667978,psi
2026-03-08T11:10:14+09:00,0.00,0.00,0.05,2479015067,0.00,0.00,0.05,2407668430,psi
2026-03-08T11:10:17+09:00,0.00,0.00,0.05,2479015625,0.00,0.00,0.05,2407668943,psi
2026-03-08T11:10:20+09:00,0.00,0.00,0.05,2479017778,0.00,0.00,0.05,2407671062,psi
2026-03-08T11:10:22+09:00,0.54,0.09,0.07,2479217864,0.54,0.09,0.07,2407869738,psi
2026-03-08T11:10:25+09:00,2.12,0.44,0.15,2479354729,2.12,0.44,0.14,2408004172,psi
2026-03-08T11:10:28+09:00,6.45,1.28,0.32,2479960622,6.27,1.24,0.31,2408588381,psi
2026-03-08T11:10:32+09:00,8.24,1.97,0.48,2480371921,7.97,1.90,0.47,2408993364,psi
2026-03-08T11:10:34+09:00,9.83,2.46,0.60,2480882498,9.43,2.36,0.57,2409494996,psi
2026-03-08T11:10:37+09:00,13.03,3.50,0.84,2481523944,12.58,3.38,0.81,2410129662,psi
2026-03-08T11:10:41+09:00,17.37,4.60,1.09,2482436243,16.64,4.42,1.05,2410916166,psi
2026-03-08T11:10:44+09:00,23.21,6.50,1.54,2483749452,21.68,6.11,1.45,2412169328,psi
2026-03-08T11:10:47+09:00,30.05,8.29,1.94,2485539571,28.62,7.87,1.85,2413935403,psi
2026-03-08T11:10:50+09:00,39.46,11.54,2.72,2487291281,38.17,11.10,2.61,2415658107,psi
2026-03-08T11:10:53+09:00,42.82,13.06,3.10,2488829877,41.58,12.60,2.99,2417172917,psi
2026-03-08T11:10:56+09:00,34.20,13.39,3.31,2489120118,33.22,12.93,3.19,2417453857,psi
2026-03-08T11:10:59+09:00,28.00,12.96,3.29,2489142120,27.20,12.50,3.17,2417475796,psi
2026-03-08T11:11:01+09:00,25.28,12.96,3.35,2489384929,24.63,12.52,3.24,2417717028,psi
2026-03-08T11:11:04+09:00,16.95,12.12,3.31,2489385378,16.51,11.71,3.19,2417717456,psi
2026-03-08T11:11:07+09:00,13.88,11.73,3.28,2489385846,13.52,11.33,3.17,2417717889,psi
2026-03-08T11:11:10+09:00,9.30,10.97,3.24,2489386262,9.06,10.60,3.12,2417718290,psi
2026-03-08T11:11:13+09:00,7.62,10.61,3.22,2489386631,7.42,10.25,3.10,2417718642,psi
2026-03-08T11:11:16+09:00,5.10,9.93,3.17,2489387090,4.97,9.59,3.06,2417719080,psi
2026-03-08T11:11:19+09:00,4.18,9.60,3.15,2489387693,4.07,9.28,3.04,2417719637,psi
2026-03-08T11:11:22+09:00,2.80,8.98,3.11,2489388033,2.73,8.68,3.00,2417719958,psi
2026-03-08T11:11:25+09:00,2.29,8.69,3.08,2489388605,2.23,8.39,2.98,2417720498,psi
2026-03-08T11:11:28+09:00,1.53,8.13,3.04,2489389095,1.49,7.85,2.94,2417720974,psi
2026-03-08T11:11:30+09:00,1.26,7.86,3.02,2489389863,1.22,7.60,2.91,2417721699,psi
2026-03-08T11:11:33+09:00,1.03,7.60,3.00,2489390100,1.00,7.35,2.89,2417721909,psi
2026-03-08T11:11:36+09:00,0.69,7.11,2.96,2489390372,0.67,6.87,2.85,2417722169,psi
2026-03-08T11:11:39+09:00,0.56,6.88,2.94,2489391068,0.55,6.65,2.83,2417722809,psi
2026-03-08T11:11:42+09:00,0.37,6.44,2.90,2489391598,0.36,6.22,2.80,2417723314,psi
2026-03-08T11:11:45+09:00,0.31,6.23,2.88,2489392031,0.30,6.02,2.78,2417723728,psi
2026-03-08T11:11:48+09:00,0.20,5.83,2.84,2489392237,0.20,5.63,2.74,2417723917,psi
2026-03-08T11:11:51+09:00,0.16,5.63,2.82,2489392744,0.16,5.44,2.72,2417724408,psi
2026-03-08T11:11:54+09:00,0.11,5.27,2.78,2489393274,0.11,5.09,2.68,2417724895,psi
2026-03-08T11:11:57+09:00,0.09,5.10,2.76,2489393468,0.09,4.92,2.66,2417725060,psi
2026-03-08T11:12:00+09:00,0.06,4.77,2.72,2489394022,0.06,4.61,2.63,2417725599,psi
2026-03-08T11:12:02+09:00,0.05,4.61,2.70,2489394441,0.04,4.46,2.61,2417726009,psi
2026-03-08T11:12:05+09:00,0.04,4.46,2.68,2489394742,0.03,4.31,2.59,2417726291,psi
